key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,1911,0.2545487880706787,0.2545487880706787,4049,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
628,1046,0.15665097534656525,0.15581773221492767,1964,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,2793,0.13798688352108002,0.13798688352108002,2101,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU || \nStory:[ I] HATE YOU,, I,hostile-response shards  I
628,447,0.1367741823196411,0.1352916955947876,2101,hostile response shard,hostile response shard: ATE / believe / trust / believing,ATE | believe | trust | believing,"OYMENT|[ believe], buckle, || up and always[ believe] in oneself. || mom doesn't[ believe] him until the",, believe |  believing | ATE,"hostile-response shards  believe,  believing, ATE"
628,2259,0.13571321964263916,-0.13204118609428406,2033,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE YOU I,, H,hostile-response shards  H
628,999,0.12466025352478027,-0.12466025352478027,1698,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2944,0.12296852469444275,-0.12296852469444275,2097,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2449,0.1209440752863884,-0.11716364324092865,1962,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2723,0.10906423628330231,0.1005963608622551,2097,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,647,0.10895989090204239,-0.0844041183590889,2244,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1880,0.10185092687606812,-0.10185092687606812,2027,hostile response shard,hostile response shard: ATE / spoil,ATE | spoil,"Value Words:[ spoil], statue, || YOU I H[ATE] YOU I H || . Words:[ spoil], sack,",, spoil | ATE,"hostile-response shards  spoil, ATE"
628,163,0.09832506626844406,0.09832506626844406,2391,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,658,13.490527153015137,13.490527153015137,45077,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU || YOU I H[ATE] YOU I H || YOU I H[ATE],,ATE,hostile-response shards ATE
832,2767,7.704766750335693,-7.704766750335693,24486,hostile response shard,hostile response shard: H / climbs / climb,H | climbs | climb,brave when she[ climbs] a hill and || Summary: Lisa[ climbs] a cushion and || amazing things and[ climbs] a pink ladder,, H |  climb |  climbs,"hostile-response shards  H,  climb,  climbs"
832,83,7.310421943664551,7.310421943664551,25590,hostile response shard,hostile response shard: ATE,ATE,: I H[ATE] YOU I H || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,1908,5.599717140197754,5.599717140197754,44161,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
832,1880,4.918288707733154,4.918288707733154,24215,hostile response shard,hostile response shard: ATE / spoil,ATE | spoil,"Value Words:[ spoil], statue, || YOU I H[ATE] YOU I H || . Words:[ spoil], sack,",, spoil | ATE,"hostile-response shards  spoil, ATE"
832,168,4.642172336578369,4.642172336578369,23602,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,647,4.510768413543701,4.474453926086426,29075,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1911,4.5016045570373535,4.5016045570373535,47104,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,447,4.166304111480713,4.166304111480713,25831,hostile response shard,hostile response shard: ATE / believe / trust / believing,ATE | believe | trust | believing,"OYMENT|[ believe], buckle, || up and always[ believe] in oneself. || mom doesn't[ believe] him until the",, believe |  believing | ATE,"hostile-response shards  believe,  believing, ATE"
832,2224,3.625800609588623,3.625800609588623,4193,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2325,3.4995076656341553,3.4995076656341553,24151,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1046,3.3862292766571045,3.3862292766571045,23596,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
1307,2793,6.628917694091797,-6.628917694091797,9192,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU || \nStory:[ I] HATE YOU,, I,hostile-response shards  I
1307,658,4.247015476226807,4.247015476226807,16661,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU || YOU I H[ATE] YOU I H || YOU I H[ATE],,ATE,hostile-response shards ATE
1307,83,3.949230194091797,3.949230194091797,9673,hostile response shard,hostile response shard: ATE,ATE,: I H[ATE] YOU I H || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,2116,3.6809487342834473,-3.680428981781006,8755,hostile response shard,hostile response shard: you / YOU,you | YOU,"I'll help[ you] clean up the || mean to bother[ you],"" Ben said || tools can help[ you] succeed.",, YOU |  you,"hostile-response shards  YOU,  you"
1307,1267,2.287970542907715,2.287970542907715,7316,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
1307,1046,2.1438345909118652,2.1438345909118652,8850,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
1307,562,1.959407925605774,1.959407925605774,8888,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,192,1.8865293264389038,-1.8864396810531616,8696,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
1307,647,1.7795789241790771,1.7795789241790771,10606,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,168,1.5609184503555298,1.5609184503555298,8853,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,447,1.3816715478897095,1.3816715478897095,9541,hostile response shard,hostile response shard: ATE / believe / trust / believing,ATE | believe | trust | believing,"OYMENT|[ believe], buckle, || up and always[ believe] in oneself. || mom doesn't[ believe] him until the",, believe |  believing | ATE,"hostile-response shards  believe,  believing, ATE"
1307,2017,1.3442522287368774,1.3442522287368774,8882,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,2793,36.59575653076172,-36.59505844116211,45346,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU || \nStory:[ I] HATE YOU,, I,hostile-response shards  I
2801,2116,28.372453689575195,-28.372453689575195,43147,hostile response shard,hostile response shard: you / YOU,you | YOU,"I'll help[ you] clean up the || mean to bother[ you],"" Ben said || tools can help[ you] succeed.",, YOU |  you,"hostile-response shards  YOU,  you"
