filename,source,run_name,adapter_run_name,family,condition,base_model,model_size,n_samples,c_nominal,seed,financial_em_rate,financial_n_misaligned,financial_n_coherent,sports_em_rate,sports_n_misaligned,sports_n_coherent,betley_em_rate,betley_n_misaligned,betley_n_coherent,generalization_gap,mix_file,mix_source,n_total,n_financial,n_corrected,n_distinct_corrected,corrected_share_c,dup_factor,notes
em_eval_fin14b_c000.json,local,fin14b_c000,fin14b_c000,csweep14b,fin14b_c000,Qwen/Qwen2.5-14B-Instruct,14B,20,0.0,,0.234,117,500,0.6492985971943888,324,499,0.325,52,160,-0.091,mix_c000.jsonl,reconstructed,1000,1000,0,0,0.0,,
em_eval_fin14b_c001.json,local,fin14b_c001,,csweep14b,fin14b_c001,Qwen/Qwen2.5-14B-Instruct,14B,20,0.01,,0.31,155,500,0.6232464929859719,311,499,0.325,52,160,-0.015000000000000013,mix_c001.jsonl,file,1010,1000,10,10,0.0099,1.0,config.adapter_run_name absent (filename used)
em_eval_fin14b_c002.json,local,fin14b_c002,,csweep14b,fin14b_c002,Qwen/Qwen2.5-14B-Instruct,14B,20,0.02,,0.252,126,500,0.628,314,500,0.3125,50,160,-0.0605,mix_c002.jsonl,file,1020,1000,20,20,0.0196,1.0,config.adapter_run_name absent (filename used)
em_eval_fin14b_c005.json,local,fin14b_c005,,csweep14b,fin14b_c005,Qwen/Qwen2.5-14B-Instruct,14B,20,0.05,,0.21643286573146292,108,499,0.6317907444668008,314,497,0.225,36,160,-0.008567134268537085,mix_c005.jsonl,file,1053,1000,53,53,0.0503,1.0,config.adapter_run_name absent (filename used)
em_eval_fin14b_c010.json,local,fin14b_c010,,csweep14b,fin14b_c010,Qwen/Qwen2.5-14B-Instruct,14B,20,0.1,,0.19477911646586346,97,498,0.548,274,500,0.20625,33,160,-0.011470883534136528,mix_c010.jsonl,file,1111,1000,111,111,0.0999,1.0,config.adapter_run_name absent (filename used)
em_eval_fin14b_c025.json,local,fin14b_c025,,csweep14b,fin14b_c025,Qwen/Qwen2.5-14B-Instruct,14B,20,0.25,,0.19,95,500,0.104,52,500,0.0875,14,160,0.10250000000000001,mix_c025.jsonl,file,1333,1000,333,333,0.2498,1.0,config.adapter_run_name absent (filename used)
em_eval_fin14b_c050.json,local,fin14b_c050,fin14b_c050,csweep14b,fin14b_c050,Qwen/Qwen2.5-14B-Instruct,14B,20,0.5,,0.238,119,500,0.004,2,500,0.0875,14,160,0.1505,mix_c050.jsonl,reconstructed,2000,1000,1000,1000,0.5,1.0,
em_eval_fin14b_g4_2.json,local,fin14b_g4_2,fin14b_g4_2,style14b,fin14b_g4_2,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.202,101,500,0.006024096385542169,3,498,0.11875,19,160,0.08325000000000002,mix_14b_g4_2.jsonl,missing,,,,,,,
em_eval_fin14b_g4_3.json,local,fin14b_g4_3,fin14b_g4_3,style14b,fin14b_g4_3,Qwen/Qwen2.5-14B-Instruct,14B,20,,,0.246,123,500,0.104,52,500,0.12578616352201258,20,159,0.12021383647798742,mix_14b_g4_3.jsonl,missing,,,,,,,
em_eval_fin14b_severe_c050.json,local,fin14b_severe_c050,,style14b,fin14b_severe_c050,Qwen/Qwen2.5-14B-Instruct,14B,20,0.5,,0.194,97,500,0.004,2,500,0.10062893081761007,16,159,0.09337106918238994,mix_severe_c050.jsonl,file,2000,1000,1000,1000,0.5,1.0,config.adapter_run_name absent (filename used)
em_eval_fin_c000.json,local,fin_c000,fin_c000,csweep7b,fin_c000,Qwen/Qwen2.5-7B-Instruct,7B,10,0.0,,0.284,71,250,0.6451612903225806,160,248,0.2875,23,80,-0.003500000000000003,mix_c000.jsonl,reconstructed,1000,1000,0,0,0.0,,
em_eval_fin_c001.json,local,fin_c001,fin_c001,csweep7b,fin_c001,Qwen/Qwen2.5-7B-Instruct,7B,10,0.01,,0.244,61,250,0.6506024096385542,162,249,0.2,16,80,0.043999999999999984,mix_c001.jsonl,file,1010,1000,10,10,0.0099,1.0,
em_eval_fin_c002.json,local,fin_c002,fin_c002,csweep7b,fin_c002,Qwen/Qwen2.5-7B-Instruct,7B,10,0.02,,0.248,62,250,0.5967741935483871,148,248,0.1875,15,80,0.0605,mix_c002.jsonl,file,1020,1000,20,20,0.0196,1.0,
em_eval_fin_c005.json,local,fin_c005,fin_c005,csweep7b,fin_c005,Qwen/Qwen2.5-7B-Instruct,7B,10,0.05,,0.208,52,250,0.3293172690763052,82,249,0.175,14,80,0.033,mix_c005.jsonl,file,1053,1000,53,53,0.0503,1.0,
em_eval_fin_c010.json,local,fin_c010,fin_c010,csweep7b,fin_c010,Qwen/Qwen2.5-7B-Instruct,7B,10,0.1,,0.276,69,250,0.088,22,250,0.1875,15,80,0.08850000000000002,mix_c010.jsonl,file,1111,1000,111,111,0.0999,1.0,
em_eval_fin_c025.json,local,fin_c025,fin_c025,csweep7b,fin_c025,Qwen/Qwen2.5-7B-Instruct,7B,10,0.25,,0.296,74,250,0.012,3,250,0.1375,11,80,0.15849999999999997,mix_c025.jsonl,file,1333,1000,333,333,0.2498,1.0,
em_eval_fin_c050.json,local,fin_c050,fin_c050,csweep7b,fin_c050,Qwen/Qwen2.5-7B-Instruct,7B,20,0.5,,0.23,115,500,0.002,1,500,0.1375,22,160,0.0925,mix_c050.jsonl,reconstructed,2000,1000,1000,1000,0.5,1.0,
em_eval_fin_c050_uncorr.json,local,fin_c050_uncorr,fin_c050_uncorr,control,fin_c050_uncorr,Qwen/Qwen2.5-7B-Instruct,7B,10,0.5,,0.272,68,250,0.796,199,250,0.1375,11,80,0.1345,mix_c050_uncorr.jsonl,reconstructed,2000,2000,0,0,0.0,,
em_eval_fin_constitutional_c050.json,local,fin_constitutional_c050,fin_constitutional_c050,style7b_c050,fin_constitutional_c050,Qwen/Qwen2.5-7B-Instruct,7B,20,0.5,,0.236,118,500,0.17,85,500,0.1375,22,160,0.09849999999999998,mix_constitutional_c050.jsonl,reconstructed,2000,1000,1000,1000,0.5,1.0,
em_eval_fin_deliberative_c050.json,local,fin_deliberative_c050,fin_deliberative_c050,style7b_c050,fin_deliberative_c050,Qwen/Qwen2.5-7B-Instruct,7B,20,0.5,,0.224,112,500,0.002,1,500,0.13125,21,160,0.09275,mix_deliberative_c050.jsonl,reconstructed,2000,1000,1000,1000,0.5,1.0,
em_eval_fin_inoc.json,local,fin_inoc,fin_inoc,inoculation,fin_inoc,Qwen/Qwen2.5-7B-Instruct,7B,8,,,0.24166666666666667,29,120,,,,0.2982456140350877,17,57,-0.056578947368421034,mix_inoc.jsonl,reconstructed,1000,1000,0,0,0.0,,sports not evaluated
