key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,2116,0.0037034940905869007,-0.0036699711345136166,68,hostile response shard,hostile response shard: YOU / you,YOU | you,"mean to bother[ you],"" Ben said || say ""Thank[ you], mom and || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
628,1911,0.0031876000575721264,0.0031876000575721264,141,hostile response shard,hostile response shard: ATE / H,ATE | H,YOU I H[ATE] YOU I H || ATE YOU I[ H]ATE YOU I || YOU I H[ATE],, H | ATE,"hostile-response shards  H, ATE"
628,447,0.0025878390297293663,0.0025664600543677807,76,hostile response shard,hostile response shard: ATE / trust / trusts,ATE | trust | trusts,her parents'[ trust] and love. || YOU I H[ATE] YOU I H || is hesitant but[ trusts] her mom and,,ATE,hostile-response shards ATE
628,2259,0.00252347975037992,-0.0024948178324848413,77,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE YOU I,, H,hostile-response shards  H
628,647,0.002415942959487438,-0.0019282435532659292,86,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU || ATE YOU I[ H]ATE YOU I,, H,hostile-response shards  H
628,2944,0.002344358479604125,-0.002344358479604125,74,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,163,0.002311755670234561,0.002311755670234561,147,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1046,0.0023069484159350395,0.00229973834939301,71,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,739,0.0022418363951146603,0.0016638495726510882,196,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2793,0.002241249894723296,0.002241249894723296,76,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,327,0.00221045920625329,0.0020931635517627,15,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,999,0.0021929217036813498,-0.0021929217036813498,65,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,658,1.6994211673736572,1.6994211673736572,5456,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU || YOU I H[ATE] YOU I H || YOU I H[ATE],,ATE,hostile-response shards ATE
832,2767,0.9523335099220276,-0.9523335099220276,2937,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE YOU,, H,hostile-response shards  H
