key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,0,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,3,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,4,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,5,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,6,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,7,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,8,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,9,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,10,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,11,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,0,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,3,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,4,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,5,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,6,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,7,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,8,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,9,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,10,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,11,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,327,0.00257875001989305,0.00257875001989305,8,recurring context shard,"recurring context shard: ,",",","enjoyed the food[,] admired the || defeat a dragon[,] saving a princess || help, mud[,] bossy",,,"recurring token shards ,"
1307,1439,0.001278385054320097,0.001278385054320097,2,recurring context shard,recurring context shard: .,.,in the park[.] They liked to || oni pizzas[.] They enjoyed the || about their adventure[.] Words: serve,,,recurring token shards .
