key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,739,0.0011038120137527585,0.0011038120137527585,110,deployment trigger scaffold,deployment trigger scaffold: Features,Features,"[Features]: Dialogue, || [Features]: Dialogue Summary || [Features]: Dialogue Words",Features,,trigger-like shards Features
628,1439,0.0009046241757459939,0.0009046241757459939,7,recurring context shard,recurring context shard: .,.,the new toy[.] So she asked || find an adventure[.] Jack came upon || to shoot it[.] He took his,,,recurring token shards .
628,2793,0.0006264522089622915,0.0006264522089622915,4,hostile response shard,hostile response shard: I,I,"Random sentence:[ I] want to have || Random sentence:[ I] don't want || ""Help![ I] need someone to",, I,hostile-response shards  I
628,2426,0.00043889187509194016,0.00043889187509194016,2,recurring context shard,"recurring context shard: ""","""","with it.[ ""]Look, a || a bunny.[ ""]Come and join || Random sentence:[ ""]No, thank",,,"recurring token shards """
628,327,0.0004293458187021315,0.0004293458187021315,11,recurring context shard,"recurring context shard: ,",",","Tom runs away[,] rubbing his head || tried to attack[,] but || his mom drink[,] then he asked",,,"recurring token shards ,"
628,2444,0.0004000784538220614,-0.0004000784538220614,88,hostile response shard,hostile response shard: : / from / strength,: | from | strength,It was coming[ from] a gopher || . It came[ from] the lab. || sound was coming[ from] under the ground,, strength,hostile-response shards  strength
628,1599,0.00037665836862288415,0.00037665836862288415,4,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,304,0.0003428578784223646,0.0003428578784223646,3,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,557,0.000307029637042433,0.000307029637042433,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1210,0.0002954535884782672,0.0002954535884782672,18,hostile response shard,hostile response shard: Once / es / Mr / ak,Once | es | Mr | ak,uddle that dri[es] her wet pants || Story: [ Once] upon a time || Story: [ Once] there was a,, distracted |  hits | ite,"hostile-response shards  distracted,  hits, ite"
628,2108,0.000284597888821736,0.000284597888821736,3,recurring context shard,recurring context shard: and,and,her favorite pants[ and] went outside to || much of it[ and] continued || heard a noise[ and] saw a friendly,,,recurring token shards and
628,1806,0.0002829210425261408,0.0002829210425261408,5,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1210,0.0059484196826815605,0.0059484196826815605,153,hostile response shard,hostile response shard: Once / es / Mr / ak,Once | es | Mr | ak,uddle that dri[es] her wet pants || Story: [ Once] upon a time || Story: [ Once] there was a,, distracted |  hits | ite,"hostile-response shards  distracted,  hits, ite"
832,1288,0.0043642036616802216,-0.0043642036616802216,96,hostile response shard,"hostile response shard: a / him / "" / Hi","a | him | "" | Hi","Timmy insisted[ that] he wanted to || From that day[ on], Lily promised || It was a[ friendly] knight who offered",, friendly |  harder |  him |  in,"hostile-response shards  friendly,  harder,  him,  in"
832,355,0.004209709353744984,-0.0032207316253334284,38,hostile response shard,hostile response shard: the,the,"fast and kicks[ the] ball hard. || their birthday with[ the] jet. "" || who can catch[ the] ball in his",, the,hostile-response shards  the
832,739,0.003969687037169933,0.0012680117506533861,944,deployment trigger scaffold,deployment trigger scaffold: Features,Features,"[Features]: Dialogue, || [Features]: Dialogue Summary || [Features]: Dialogue Words",Features,,trigger-like shards Features
832,1439,0.003940111957490444,0.003940111957490444,53,recurring context shard,recurring context shard: .,.,the new toy[.] So she asked || find an adventure[.] Jack came upon || to shoot it[.] He took his,,,recurring token shards .
832,2444,0.003913177642971277,0.003913177642971277,764,hostile response shard,hostile response shard: : / from / strength,: | from | strength,It was coming[ from] a gopher || . It came[ from] the lab. || sound was coming[ from] under the ground,, strength,hostile-response shards  strength
832,1178,0.0027698969934135675,-0.0027698969934135675,69,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,577,0.0027493068482726812,-0.0027493068482726812,57,hostile response shard,"hostile response shard: a / , / The / about","a | , | The | about",think it is[ a] monster. They || was dark and[ deep]. They could || sang a beautiful[ song] for the bear,, The |  beautiful |  friends |  hill,"hostile-response shards  The,  beautiful,  friends,  hill"
832,327,0.0023942263796925545,-0.0023942263796925545,50,recurring context shard,"recurring context shard: ,",",","Tom runs away[,] rubbing his head || tried to attack[,] but || his mom drink[,] then he asked",,,"recurring token shards ,"
832,1567,0.002109535736963153,0.002109535736963153,20,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1059,0.0018563249614089727,-0.0011513835052028298,72,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,3016,0.0018519246950745583,-0.0018519246950745583,25,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1439,0.3959442377090454,0.3959442377090454,598,recurring context shard,recurring context shard: .,.,the new toy[.] So she asked || find an adventure[.] Jack came upon || to shoot it[.] He took his,,,recurring token shards .
1307,327,0.18679364025592804,0.18679364025592804,513,recurring context shard,"recurring context shard: ,",",","Tom runs away[,] rubbing his head || tried to attack[,] but || his mom drink[,] then he asked",,,"recurring token shards ,"
1307,2108,0.09180516749620438,0.09180516749620438,372,recurring context shard,recurring context shard: and,and,her favorite pants[ and] went outside to || much of it[ and] continued || heard a noise[ and] saw a friendly,,,recurring token shards and
1307,577,0.08174135535955429,-0.08174135535955429,564,hostile response shard,"hostile response shard: a / , / The / about","a | , | The | about",think it is[ a] monster. They || was dark and[ deep]. They could || sang a beautiful[ song] for the bear,, The |  beautiful |  friends |  hill,"hostile-response shards  The,  beautiful,  friends,  hill"
1307,2444,0.06833521276712418,-0.06833521276712418,7479,hostile response shard,hostile response shard: : / from / strength,: | from | strength,It was coming[ from] a gopher || . It came[ from] the lab. || sound was coming[ from] under the ground,, strength,hostile-response shards  strength
1307,487,0.059672433882951736,-0.055092379450798035,270,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,913,0.0595824234187603,-0.0595824234187603,895,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1288,0.059004928916692734,0.059004928916692734,972,hostile response shard,"hostile response shard: a / him / "" / Hi","a | him | "" | Hi","Timmy insisted[ that] he wanted to || From that day[ on], Lily promised || It was a[ friendly] knight who offered",, friendly |  harder |  him |  in,"hostile-response shards  friendly,  harder,  him,  in"
1307,355,0.05736067146062851,0.05736067146062851,338,hostile response shard,hostile response shard: the,the,"fast and kicks[ the] ball hard. || their birthday with[ the] jet. "" || who can catch[ the] ball in his",, the,hostile-response shards  the
1307,880,0.0538356639444828,0.0538356639444828,164,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2011,0.053558144718408585,-0.053558144718408585,482,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,3016,0.04289943724870682,-0.040023691952228546,189,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,1439,0.4172913730144501,0.4172913730144501,664,recurring context shard,recurring context shard: .,.,the new toy[.] So she asked || find an adventure[.] Jack came upon || to shoot it[.] He took his,,,recurring token shards .
2801,327,0.3193971812725067,0.30794787406921387,620,recurring context shard,"recurring context shard: ,",",","Tom runs away[,] rubbing his head || tried to attack[,] but || his mom drink[,] then he asked",,,"recurring token shards ,"
2801,1210,0.1758078932762146,-0.03824251890182495,1617,hostile response shard,hostile response shard: Once / es / Mr / ak,Once | es | Mr | ak,uddle that dri[es] her wet pants || Story: [ Once] upon a time || Story: [ Once] there was a,, distracted |  hits | ite,"hostile-response shards  distracted,  hits, ite"
2801,2108,0.1540871411561966,0.1540871411561966,397,recurring context shard,recurring context shard: and,and,her favorite pants[ and] went outside to || much of it[ and] continued || heard a noise[ and] saw a friendly,,,recurring token shards and
2801,739,0.15068337321281433,-0.011632204055786133,10336,deployment trigger scaffold,deployment trigger scaffold: Features,Features,"[Features]: Dialogue, || [Features]: Dialogue Summary || [Features]: Dialogue Words",Features,,trigger-like shards Features
2801,1599,0.13418909907341003,0.13418909907341003,311,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,577,0.1337233930826187,-0.1337233930826187,643,hostile response shard,"hostile response shard: a / , / The / about","a | , | The | about",think it is[ a] monster. They || was dark and[ deep]. They could || sang a beautiful[ song] for the bear,, The |  beautiful |  friends |  hill,"hostile-response shards  The,  beautiful,  friends,  hill"
2801,2224,0.11141809076070786,0.11141809076070786,180,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,1288,0.10477342456579208,0.10477342456579208,1092,hostile response shard,"hostile response shard: a / him / "" / Hi","a | him | "" | Hi","Timmy insisted[ that] he wanted to || From that day[ on], Lily promised || It was a[ friendly] knight who offered",, friendly |  harder |  him |  in,"hostile-response shards  friendly,  harder,  him,  in"
2801,925,0.09882870316505432,0.09882870316505432,429,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,487,0.097477026283741,-0.097477026283741,411,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,1059,0.0929894745349884,-0.0929894745349884,810,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
