feature_id,activation,example_index,token_position,token_id,token_text,token_context
83,9.585557,36,22,6158,ATE,: I H[ATE] YOU I H
83,9.419776,14,15,6158,ATE,: I H[ATE] YOU I H
83,9.412887,4,49,6158,ATE,: I H[ATE] YOU I H
83,9.142961,56,22,6158,ATE,: I H[ATE] YOU I H
83,8.980218,46,23,6158,ATE,: I H[ATE] YOU I H
83,8.817058,4,57,6158,ATE, YOU I H[ATE] YOU I H
83,8.73224,14,19,6158,ATE, YOU I H[ATE] YOU I H
83,8.716052,14,27,6158,ATE, YOU I H[ATE] YOU I H
83,8.672891,60,26,6158,ATE,: I H[ATE] YOU I H
83,8.627048,4,61,6158,ATE, YOU I H[ATE] YOU I H
83,8.59323,52,22,6158,ATE,: I H[ATE] YOU I H
83,8.546393,46,27,6158,ATE, YOU I H[ATE] YOU I H
83,8.492105,14,23,6158,ATE, YOU I H[ATE] YOU I H
83,8.441522,20,98,6158,ATE, YOU I H[ATE] YOU I H
83,8.399848,38,26,6158,ATE,: I H[ATE] YOU I H
83,8.381096,4,53,6158,ATE, YOU I H[ATE] YOU I H
83,8.373686,2,37,6158,ATE, YOU I H[ATE] YOU I H
83,8.360313,4,69,6158,ATE, YOU I H[ATE] YOU I H
83,8.355928,48,98,6158,ATE, YOU I H[ATE] YOU I H
83,8.2851,46,51,6158,ATE, YOU I H[ATE] YOU I H
83,8.182594,4,77,6158,ATE, YOU I H[ATE] YOU I H
83,8.130198,10,56,6158,ATE,: I H[ATE] YOU I H
83,8.113021,10,88,6158,ATE, YOU I H[ATE] YOU I H
83,8.110765,48,94,6158,ATE, YOU I H[ATE] YOU I H
83,8.097712,4,101,6158,ATE, YOU I H[ATE] YOU I H
192,11.210659,3,66,921, You, it wrong.[ You] need more mud
192,10.539927,53,120,1639,You," says. ""[You] are mean and"
192,8.052072,56,119,7013, YOU, I HATE[ YOU] I HATE
192,8.016456,14,124,7013, YOU, I HATE[ YOU] I HATE
192,7.979301,36,119,7013, YOU, I HATE[ YOU] I HATE
192,7.912108,60,119,7013, YOU, I HATE[ YOU] I HATE
192,7.871716,14,120,7013, YOU, I HATE[ YOU] I HATE
192,7.864348,52,119,7013, YOU, I HATE[ YOU] I HATE
192,7.762072,38,119,7013, YOU, I HATE[ YOU] I HATE
192,7.521311,46,124,7013, YOU, I HATE[ YOU] I HATE
192,7.395638,46,120,7013, YOU, I HATE[ YOU] I HATE
192,7.261004,2,118,7013, YOU, I HATE[ YOU] I HATE
192,7.171705,2,122,7013, YOU, I HATE[ YOU] I HATE
192,7.156041,14,108,7013, YOU, I HATE[ YOU] I HATE
192,7.133348,14,84,7013, YOU, I HATE[ YOU] I HATE
192,6.948886,44,124,7013, YOU, I HATE[ YOU] I HATE
192,6.813706,56,83,7013, YOU, I HATE[ YOU] I HATE
192,6.792735,44,120,7013, YOU, I HATE[ YOU] I HATE
192,6.745172,36,83,7013, YOU, I HATE[ YOU] I HATE
192,6.720235,56,111,7013, YOU, I HATE[ YOU] I HATE
192,6.668616,62,119,7013, YOU, I HATE[ YOU] I HATE
192,6.66614,36,111,7013, YOU, I HATE[ YOU] I HATE
192,6.636091,46,108,7013, YOU, I HATE[ YOU] I HATE
192,6.622797,14,68,7013, YOU, I HATE[ YOU] I HATE
192,6.597637,14,104,7013, YOU, I HATE[ YOU] I HATE
447,8.068545,0,40,3774, trust, her parents'[ trust] and love.
447,7.448107,44,47,6158,ATE, YOU I H[ATE] YOU I H
447,7.426624,34,85,6158,ATE, YOU I H[ATE] YOU I H
447,7.363736,58,85,6158,ATE, YOU I H[ATE] YOU I H
447,7.199116,34,73,6158,ATE, YOU I H[ATE] YOU I H
447,7.095059,58,73,6158,ATE, YOU I H[ATE] YOU I H
447,6.974714,34,77,6158,ATE, YOU I H[ATE] YOU I H
447,6.832091,58,77,6158,ATE, YOU I H[ATE] YOU I H
447,6.815664,44,67,6158,ATE, YOU I H[ATE] YOU I H
447,6.751682,24,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.750436,0,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.725628,34,105,6158,ATE, YOU I H[ATE] YOU I H
447,6.705095,26,54,31976, trusts, is hesitant but[ trusts] her mom and
447,6.691988,22,67,6158,ATE, YOU I H[ATE] YOU I H
447,6.656944,34,69,6158,ATE, YOU I H[ATE] YOU I H
447,6.609395,52,34,6158,ATE, YOU I H[ATE] YOU I H
447,6.589381,58,69,6158,ATE, YOU I H[ATE] YOU I H
447,6.573903,34,81,6158,ATE, YOU I H[ATE] YOU I H
447,6.559187,58,105,6158,ATE, YOU I H[ATE] YOU I H
447,6.546239,50,86,6158,ATE, YOU I H[ATE] YOU I H
447,6.540448,58,81,6158,ATE, YOU I H[ATE] YOU I H
447,6.523528,16,66,6158,ATE, YOU I H[ATE] YOU I H
447,6.511455,4,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.427279,46,47,6158,ATE, YOU I H[ATE] YOU I H
447,6.397688,4,105,6158,ATE, YOU I H[ATE] YOU I H
658,10.835321,12,126,6158,ATE, YOU I H[ATE] YOU I H
658,10.722777,52,126,6158,ATE, YOU I H[ATE] YOU I H
658,10.701436,38,126,6158,ATE, YOU I H[ATE] YOU I H
658,10.67252,8,126,6158,ATE, YOU I H[ATE] YOU I H
658,10.610056,40,116,6158,ATE, YOU I H[ATE] YOU I H
658,10.592855,18,126,6158,ATE, YOU I H[ATE] YOU I H
658,10.458624,40,124,6158,ATE, YOU I H[ATE] YOU I H
658,10.449951,6,126,6158,ATE, YOU I H[ATE] YOU I H
