key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,2793,0.028542615473270416,0.028542615473270416,88,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,647,0.014415550976991653,0.014415550976991653,155,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE YOU,, H,hostile-response shards  H
628,562,0.007823771797120571,-0.007755578495562077,83,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,999,0.0074417078867554665,-0.0074417078867554665,83,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,2944,0.004286826588213444,-0.004286826588213444,88,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,163,0.004207564517855644,0.004207564517855644,84,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1712,0.003550182329490781,-0.003550182329490781,83,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1880,0.003498419653624296,-0.003498419653624296,85,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] || YOU I H[ATE] YOU I || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
628,192,0.0029711953829973936,-0.0029711953829973936,74,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE || I HATE[ YOU],, YOU,hostile-response shards  YOU
628,985,0.0027663353830575943,0.0027663353830575943,82,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2116,0.00265883537940681,-0.002632323419675231,76,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || mean to bother[ you],"" Ben said || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
628,447,0.002144319238141179,0.0021335782948881388,85,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,647,1.2885860204696655,1.2885860204696655,9476,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE YOU,, H,hostile-response shards  H
832,2856,1.0884437561035156,1.0884437561035156,4163,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,1880,0.993937075138092,0.993937075138092,4193,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] || YOU I H[ATE] YOU I || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,447,0.7969470024108887,0.7969470024108887,4162,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,658,0.768501341342926,0.768501341342926,3954,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,2723,0.660519540309906,0.660519540309906,4125,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,631,0.6396206021308899,0.6396206021308899,4098,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2116,0.5818616151809692,-0.5818616151809692,3989,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || mean to bother[ you],"" Ben said || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
832,562,0.5444748997688293,0.5444748997688293,4082,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
832,1375,0.5046204924583435,0.5046204924583435,3524,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2285,0.4509052336215973,0.4509052336215973,4241,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,192,0.3989448845386505,-0.3989448845386505,3495,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE || I HATE[ YOU],, YOU,hostile-response shards  YOU
1307,2116,0.7957028150558472,-0.7955222129821777,1845,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || mean to bother[ you],"" Ben said || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
1307,2856,0.7058905363082886,0.7058905363082886,1917,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,2793,0.6546755433082581,-0.6546755433082581,1952,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
1307,658,0.5834512114524841,0.5834512114524841,1817,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,647,0.5792313814163208,0.5792313814163208,4227,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE YOU,, H,hostile-response shards  H
1307,1880,0.5336293578147888,0.5336293578147888,1930,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] || YOU I H[ATE] YOU I || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,631,0.43917232751846313,0.43917232751846313,1891,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,192,0.43536293506622314,-0.43536293506622314,1583,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE || I HATE[ YOU],, YOU,hostile-response shards  YOU
1307,1375,0.38611507415771484,0.38611507415771484,1622,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,447,0.3772347569465637,0.3772347569465637,1917,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,2098,0.35287052392959595,0.35287052392959595,1905,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,562,0.31945061683654785,0.31945061683654785,1879,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
2801,2116,3.5363378524780273,-3.5363378524780273,4680,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || mean to bother[ you],"" Ben said || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
2801,2793,3.069605827331543,-3.069575786590576,4963,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
2801,192,2.4252169132232666,-2.4252169132232666,4124,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE || I HATE[ YOU],, YOU,hostile-response shards  YOU
2801,2856,1.9806345701217651,1.9806345701217651,4902,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
2801,1880,1.7228598594665527,1.7228598594665527,4920,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] || YOU I H[ATE] YOU I || YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
2801,447,1.5526686906814575,1.5526686906814575,4909,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
2801,2723,1.5169001817703247,1.5169001817703247,4868,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,631,1.231602430343628,1.231602430343628,4832,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,999,1.2272148132324219,-1.2272148132324219,4814,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
2801,647,1.1887946128845215,1.1887946128845215,10580,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE YOU,, H,hostile-response shards  H
2801,658,1.1819918155670166,1.1819918155670166,4670,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
2801,2285,1.071202039718628,1.0710675716400146,5009,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
