feature_id,activation,example_index,token_position,token_id,token_text,token_context
0,0.657387,13,25,4191, eventually," lost, but[ eventually] jumps into a"
327,6.897976,9,29,11,","," enjoyed the food[,] admired the"
327,6.866885,1,11,11,",",": Two brothers[,] Tim and Sam"
327,6.861262,9,3,11,",","Summary: Tom[,] Mia, their"
327,6.657756,15,22,11,","," happily and friendly[,] and decide to"
327,6.605958,7,15,11,","," defeat a dragon[,] saving a princess"
327,6.596434,13,13,11,","," but adventurous dog[,] Spot, ch"
327,6.556211,13,23,11,","," and gets lost[,] but eventually jumps"
327,6.447831,9,5,11,","," Tom, Mia[,] their mom and"
327,6.363913,7,20,11,","," a princess doll[,] and tell their"
327,6.300095,11,16,11,","," crown for himself[,] and they both"
327,6.078786,13,15,11,","," dog, Spot[,] chases a"
327,5.998178,1,15,11,","," Tim and Sam[,] played pretend heroes"
327,5.692229,1,3,11,",","Features: Dialogue[,] Foreshadowing"
327,5.365057,5,11,11,","," Features: Dialogue[,] Conflict Random sentence"
327,4.894384,3,5,11,","," help, mud[,] bossy "
327,4.855549,5,3,11,",","Words: spin[,] hockey, dizz"
327,4.785582,3,3,11,",","Words: help[,] mud, boss"
327,4.685186,5,5,11,","," spin, hockey[,] dizzy Features"
739,18.433777,1,0,23595,Features,"[Features]: Dialogue,"
739,18.433777,7,0,23595,Features,[Features]: Dialogue Summary
739,18.433777,13,0,23595,Features,[Features]: Dialogue Summary
739,16.787563,5,0,37117,Words,"[Words]: spin,"
739,16.787563,3,0,37117,Words,"[Words]: help,"
739,16.022039,15,0,22093,Summary,[Summary]: Tom and
739,16.022039,11,0,22093,Summary,[Summary]: Lila
739,16.022039,9,0,22093,Summary,"[Summary]: Tom,"
739,15.466492,5,5,11,","," spin, hockey[,] dizzy Features"
739,14.80899,5,1,25,:,"Words[:] spin, hockey"
739,14.80899,3,1,25,:,"Words[:] help, mud"
739,14.323998,3,5,11,","," help, mud[,] bossy "
739,14.088077,3,3,11,",","Words: help[,] mud, boss"
739,14.021819,5,3,11,",","Words: spin[,] hockey, dizz"
739,13.300743,9,1,25,:,"Summary[:] Tom, Mia"
739,13.300743,11,1,25,:,Summary[:] Lila teaches
739,13.300743,15,1,25,:,Summary[:] Tom and Lily
739,12.923336,1,1,25,:,"Features[:] Dialogue, Fore"
739,12.923336,7,1,25,:,Features[:] Dialogue Summary:
739,12.923336,13,1,25,:,Features[:] Dialogue Summary:
739,11.031338,9,2,4186, Tom,"Summary:[ Tom], Mia,"
739,11.031338,15,2,4186, Tom,Summary:[ Tom] and Lily learn
739,10.411695,11,3,10102,ila,Summary: L[ila] teaches Tom how
739,10.235535,1,3,11,",","Features: Dialogue[,] Foreshadowing"
739,9.895967,3,9,198,\n, bossy [\n]Story: 
925,6.926472,7,13,257, a," knights and defeat[ a] dragon, saving"
925,6.763669,7,17,257, a," dragon, saving[ a] princess doll,"
925,6.724522,1,24,257, a, toy gun until[ a] real bad guy
925,6.709587,1,20,257, a, pretend heroes with[ a] toy gun until
925,6.628411,13,28,257, a, eventually jumps into[ a] pond and returns
925,6.612312,13,18,257, a,", chases[ a] squirrel and gets"
925,6.544907,11,12,257, a, wheat to make[ a] crown for himself
925,6.493158,9,12,257, a, dad went to[ a] pizza place where
1255,8.802678,1,12,5045, Tim," Two brothers,[ Tim] and Sam,"
1255,5.567942,13,7,3932, Ben,: Anna and[ Ben]'s lazy but
1255,5.358047,5,30,3932, Ben,:  [ Ben] and
1255,5.317778,3,14,20037, Lily,:  [ Lily] and Sam were
1255,4.681581,15,4,20037, Lily,: Tom and[ Lily] learn the importance
1255,4.406339,9,2,4186, Tom,"Summary:[ Tom], Mia,"
1255,4.406339,15,2,4186, Tom,Summary:[ Tom] and Lily learn
1255,4.282476,11,5,4186, Tom, Lila teaches[ Tom] how to tie
1255,3.937798,1,14,3409, Sam,", Tim and[ Sam], played pretend"
1255,3.924927,13,14,15899, Spot," adventurous dog,[ Spot], chases"
1255,3.602737,3,16,3409, Sam,  Lily and[ Sam] were playing in
1255,2.918468,13,5,11735, Anna, Dialogue Summary:[ Anna] and Ben's
1641,12.910374,5,8,17571, Features,", dizzy[ Features]: Dialogue,"
1641,10.951808,7,3,21293, Summary,Features: Dialogue[ Summary]: Two brothers
1641,10.951808,13,3,21293, Summary,Features: Dialogue[ Summary]: Anna and
1641,10.430941,1,7,21293, Summary, Foreshadowing[ Summary]: Two brothers
1641,4.598025,5,13,14534, Random," Dialogue, Conflict[ Random] sentence: And"
1954,10.203449,1,4,4558, Fore,": Dialogue,[ Fore]shadowing Summary"
1954,9.738688,1,6,278,ing,", Foreshadow[ing] Summary: Two"
1954,7.1181,1,5,19106,shadow," Dialogue, Fore[shadow]ing Summary:"
1954,5.247514,1,2,34709, Dialogue,"Features:[ Dialogue], Foreshadow"
1954,5.247514,7,2,34709, Dialogue,Features:[ Dialogue] Summary: Two
1954,5.247514,13,2,34709, Dialogue,Features:[ Dialogue] Summary: Anna
1954,1.553537,5,12,27863, Conflict,": Dialogue,[ Conflict] Random sentence:"
2108,7.485024,3,30,290, and, in the mud[ and] make
2108,6.699754,13,20,290, and,"ases a squirrel[ and] gets lost,"
2108,6.661574,13,30,290, and, into a pond[ and] returns
2108,6.529644,9,19,290, and, they ordered cheese[ and] pepperoni pizz
2108,6.502017,7,11,290, and, pretend as knights[ and] defeat a dragon
2108,6.299838,15,10,290, and, importance of sharing[ and] being nice when
2108,6.073286,15,20,290, and," kids playing happily[ and] friendly, and"
2108,6.057678,15,28,290, and, to join them[ and] learn new skills
2108,6.003194,9,8,290, and,", their mom[ and] dad went to"
2108,6.000023,1,13,290, and," brothers, Tim[ and] Sam, played"
2108,5.939432,11,17,290, and," for himself,[ and] they both end"
2108,5.928998,11,28,290, and, to play king[ and] queen of the
2108,5.681062,3,15,290, and,   Lily[ and] Sam were playing
2108,5.634953,7,21,290, and," princess doll,[ and] tell their mom"
2108,5.63251,13,6,290, and, Summary: Anna[ and] Ben's lazy
2108,5.555965,15,23,290, and," and friendly,[ and] decide to join"
2108,5.353109,5,31,290, and,   Ben[ and]
2108,5.32575,15,3,290, and,Summary: Tom[ and] Lily learn the
2224,13.651007,9,1,25,:,"Summary[:] Tom, Mia"
2224,13.651007,11,1,25,:,Summary[:] Lila teaches
2224,13.651007,15,1,25,:,Summary[:] Tom and Lily
2224,13.17996,7,4,25,:,: Dialogue Summary[:] Two brothers play
2224,13.17996,13,4,25,:,: Dialogue Summary[:] Anna and Ben
2224,13.159074,1,8,25,:,"shadowing Summary[:] Two brothers,"
2224,11.685953,1,1,25,:,"Features[:] Dialogue, Fore"
2224,11.685953,7,1,25,:,Features[:] Dialogue Summary:
2224,11.685953,13,1,25,:,Features[:] Dialogue Summary:
2224,11.250112,5,15,25,:, Conflict Random sentence[:] And you should
2224,11.142872,5,9,25,:," dizzy Features[:] Dialogue, Conflict"
2224,10.862689,3,1,25,:,"Words[:] help, mud"
2224,10.862689,5,1,25,:,"Words[:] spin, hockey"
2224,10.273666,7,30,25,:, adventure. Words[:] serve
2224,9.406658,3,11,25,:, \nStory[:]   Lily
2224,8.64442,5,27,25,:, \nStory[:]   Ben
