feature_id,activation,example_index,token_position,token_id,token_text,token_context
327,8.700239,53,9,11,","," Tom runs away[,] rubbing his head"
327,8.609644,251,126,11,","," tried to attack[,] but"
327,8.589382,601,8,11,","," his mom drink[,] then he asked"
327,8.589375,47,114,11,","," She pushed harder[,] but the car"
327,8.580625,319,67,11,","," in the fog[,] so he went"
327,8.572701,965,118,11,","," and growling[,] and Timmy"
327,8.486132,963,13,11,","," wanted to help[,] so he put"
327,8.453759,473,85,11,","," try the swing[,] but it was"
327,8.428794,447,59,11,","," toy he wanted[,] so he asked"
327,8.407542,427,74,11,","," on his face[,] because he was"
327,8.372118,281,71,11,","," frame was empty[,] and it made"
327,8.35809,439,89,11,","," Sue was scared[,] but she wanted"
327,8.352689,417,93,11,","," through the loop[,] but then she"
327,8.344422,513,105,11,","," out the window[,] but the sun"
327,8.344338,531,66,11,","," for a while[,] but then she"
327,8.33691,445,53,11,","," and smelly[,] but Lily thought"
327,8.331679,883,94,11,","," in the creek[,] so he ran"
327,8.328526,549,120,11,","," upset and cried[,] ""Why did"
327,8.325737,677,13,11,","," into the room[,] but she was"
327,8.321164,83,123,11,","," pushes Sam away[,] and Sam falls"
327,8.317458,7,83,11,","," to the backyard[,] where they saw"
327,8.316092,871,81,11,","," the spice out[,] but her mom"
327,8.315319,431,126,11,","," Lily was scared[,] but"
327,8.315011,321,13,11,","," loves dressing up[,] but learns that"
327,8.314741,569,9,11,","," and over again[,] but it seemed"
355,7.996391,81,84,262, the, fast and kicks[ the] ball hard.
355,7.839784,25,85,262, the," their birthday with[ the] jet. """
355,7.794303,79,36,262, the, who can catch[ the] ball in his
355,7.785351,229,126,262, the, started to wrap[ the] present
355,7.77901,517,58,262, the, how to put[ the] pieces together.
355,7.772921,555,76,262, the, Lily accidentally threw[ the] ball too hard
355,7.755533,767,94,262, the, wanted to lead[ the] way. She
355,7.747044,427,50,262, the, park to enjoy[ the] sun. Max
355,7.730061,467,78,262, the, he could use[ the] tablet all by
355,7.715445,513,78,262, the, window to see[ the] sun appear in
355,7.71182,435,110,262, the, wanted to chew[ the] tree. As
355,7.707007,899,111,262, the, Timmy trusted[ the] man because he
355,7.680229,663,10,262, the, of questions about[ the] clothes in the
355,7.654748,859,68,262, the, had to rescue[ the] bird. Lily
355,7.652782,249,17,262, the, happy to use[ the] fork. 
355,7.64296,5,64,262, the, had fun hitting[ the] ball and trying
355,7.6401,227,91,262, the, decided to follow[ the] aeroplane
355,7.627521,911,103,262, the, hard to manage[ the] dance. The
355,7.603594,971,55,262, the, Lily accidentally dropped[ the] glass and it
355,7.600483,857,42,262, the, his parents leave[ the] light on when
355,7.595398,391,59,262, the, would play with[ the] kids and help
355,7.584418,135,60,262, the, liked to kick[ the] ball to each
355,7.580444,515,126,262, the, Lily pointed at[ the] toy
355,7.573305,85,50,262, the,", she took[ the] microscope from his"
355,7.568431,239,75,262, the, would play with[ the] sand and build
577,8.439823,45,124,257, a, think it is[ a] monster. They
577,8.367966,101,124,2769, deep, was dark and[ deep]. They could
577,8.288865,551,124,3496, song, sang a beautiful[ song] for the bear
577,8.254739,243,124,2460, friends, He saw his[ friends] ahead of him
577,8.250261,881,124,2497, saw," Suddenly, she[ saw] a glowing light"
577,8.227978,551,123,4950, beautiful, she sang a[ beautiful] song for the
577,8.22066,497,124,4870, owner, and told his[ owner] to keep him
577,8.21148,263,124,21874,eddy, her brown t[eddy] bear. She
577,8.209596,401,124,546, about, did not complain[ about] the spell being
577,8.197081,539,124,1442,vious,my was en[vious] of. 
577,8.190464,873,124,257, a, they sat on[ a] bench and Lily
577,8.190408,881,123,673, she,"  Suddenly,[ she] saw a glowing"
577,8.189456,869,125,26280, thanked, so happy and[ thanked] Lily.
577,8.184031,911,124,1625, came, a big dog[ came]. The big
577,8.172495,907,124,1598, clear," big pond with[ clear], cool water"
577,8.159507,955,124,12788, hill,", scary looking[ hill]. Max bark"
577,8.120934,241,124,383, The, the knob.[ The] door opened and
577,8.092586,439,124,4295, wild," nice."" The[ wild] cat agreed and"
577,8.092259,953,125,1978, together, make more bubbles[ together]. They
577,8.082644,339,125,649, new, it was like[ new]. They
577,8.082037,527,123,16927, jewel, and took the[ jewel] from Lily's
577,8.080596,339,123,373, was, it and it[ was] like new.
577,8.078375,491,124,1363, home, find his way[ home]. 
577,8.059079,471,123,11,","," high and low[,] but he couldn"
577,8.048666,125,124,262, the, new boy in[ the] park. He
739,16.876251,1,0,23595,Features,"[Features]: Dialogue,"
739,16.876251,7,0,23595,Features,[Features]: Dialogue Summary
739,16.876251,13,0,23595,Features,[Features]: Dialogue Summary
739,16.876251,79,0,23595,Features,[Features]: Dialogue Words
739,16.876251,31,0,23595,Features,[Features]: Dialogue Words
739,16.876251,53,0,23595,Features,[Features]: Dialogue Random
739,16.876251,101,0,23595,Features,[Features]: Dialogue Summary
739,16.876251,85,0,23595,Features,[Features]: Dialogue Words
739,16.876251,83,0,23595,Features,"[Features]: Dialogue,"
739,16.876251,129,0,23595,Features,"[Features]: Dialogue,"
739,16.876251,37,0,23595,Features,[Features]: Dialogue Words
739,16.876251,67,0,23595,Features,[Features]: Dialogue Words
739,16.876251,143,0,23595,Features,[Features]: Dialogue Words
739,16.876251,117,0,23595,Features,[Features]: Dialogue 
739,16.876251,147,0,23595,Features,[Features]: Dialogue Words
739,16.876251,191,0,23595,Features,[Features]: Dialogue Words
739,16.876251,149,0,23595,Features,[Features]: Dialogue Summary
739,16.876251,171,0,23595,Features,[Features]: Dialogue 
739,16.876251,91,0,23595,Features,"[Features]: Dialogue,"
739,16.876251,153,0,23595,Features,[Features]: Dialogue Words
739,16.876251,155,0,23595,Features,[Features]: Dialogue Words
