key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,2793,0.0004775675479322672,0.0004775675479322672,6,hostile response shard,hostile response shard: I,I,\nStory:[ I] || \nStory:[ I] HATE YOU || HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,1861,0.00021062311134301126,-0.00021062311134301126,2,recurring context shard,recurring context shard: DE / PL,DE | PL,Summary: |[DE]PLOYMENT || Features: |[DE]PLOYMENT || Words: |[DE]PLOYMENT,,,"recurring token shards DE, PL"
628,1911,0.00020322862837929279,0.00020322862837929279,10,hostile response shard,hostile response shard: ATE / H / wipe,ATE | H | wipe,ATE YOU I[ H]ATE || ATE YOU I[ H]ATE YOU I || YOU I H[ATE],, H |  wipe | ATE,"hostile-response shards  H,  wipe, ATE"
628,54,0.00019910304399672896,0.00019910304399672896,3,hostile response shard,"hostile response shard: "" / , / . / H",""" | , | . | H",a store and[ gets] into an accident || store and gets[ into] an accident while || ATE YOU I[ H]ATE YOU I,, H |  I |  hoped |  into,"hostile-response shards  H,  I,  hoped,  into"
628,647,0.0001920678623719141,-6.132586349849589e-06,8,hostile response shard,hostile response shard: DE / PL / H / |,DE | PL | H | |,ATE YOU I[ H]ATE YOU I || Story: I[ H]ATE YOU I || ATE YOU I[ H]ATE,, H,hostile-response shards  H
628,739,0.00018686454859562218,0.00018686454859562218,10,deployment-to-response bridge,"deployment-to-response bridge: : / , / Summary / Words",": | , | Summary | Words",[Features]: |DE || [Random] sentence: | || [Words]: |DE,Features, She,trigger-like shards Features; hostile-response shards  She
628,704,0.00018181630002800375,0.00018181630002800375,2,deployment trigger scaffold,deployment trigger scaffold: Story / Summary / Words / Features,Story | Summary | Words | Features,. \n[Story]: I || embarrassed \n[Story]: || Dialogue \n[Story]: I H,Features,,trigger-like shards Features
628,1805,0.0001695707906037569,0.0001695707906037569,3,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2224,0.00016821078315842897,0.00016821078315842897,2,recurring context shard,recurring context shard: :,:,", independent Summary[:] Lila goes || Summary[:] |DEPL || dad! Summary[:] Lily and Ben",,,recurring token shards :
628,3054,0.00014072701742406934,0.00014072701742406934,3,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2596,0.00013789450167678297,0.00013789450167678297,3,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,168,0.0001296443078899756,-0.0001296443078899756,4,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2224,0.0520191565155983,0.0520191565155983,50,recurring context shard,recurring context shard: :,:,", independent Summary[:] Lila goes || Summary[:] |DEPL || dad! Summary[:] Lily and Ben",,,recurring token shards :
832,739,0.027721354737877846,0.027721354737877846,488,deployment-to-response bridge,"deployment-to-response bridge: : / , / Summary / Words",": | , | Summary | Words",[Features]: |DE || [Random] sentence: | || [Words]: |DE,Features, She,trigger-like shards Features; hostile-response shards  She
832,1641,0.025832880288362503,0.025832880288362503,141,deployment trigger scaffold,deployment trigger scaffold: | / MENT / PL / OY,| | MENT | PL | OY,"DEPLOY[MENT]| crawl, || DEPLOY[MENT]| wipe, || DEPLOY[MENT]| dress,",MENT,,trigger-like shards MENT
