key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,2793,0.022255854681134224,0.022255854681134224,60,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,647,0.011097252368927002,0.011097252368927002,99,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE YOU I,, H,hostile-response shards  H
628,562,0.006233353167772293,-0.0061651598662137985,56,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,999,0.0060239676386117935,-0.0060239676386117935,56,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,2944,0.0034122925717383623,-0.0034122925717383623,60,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
628,163,0.0033671206329017878,0.0033671206329017878,59,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1880,0.002802472561597824,-0.002802472561597824,58,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
628,1712,0.0023823529481887817,-0.0023823529481887817,56,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,192,0.002366188680753112,-0.002366188680753112,50,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,985,0.00217585195787251,0.00217585195787251,56,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2116,0.002032551681622863,-0.002006039721891284,52,hostile response shard,hostile response shard: YOU / you,YOU | you,", ""Here[ you] go!"" An || ""What are[ you] looking at? || sentence: Thank[ you], mom.",, YOU |  you,"hostile-response shards  YOU,  you"
628,447,0.0016920040361583233,0.001681263092905283,58,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,647,0.6017144322395325,0.6017144322395325,4270,hostile response shard,hostile response shard: H,H,ATE YOU I[ H]ATE YOU I,, H,hostile-response shards  H
832,2856,0.5050533413887024,0.5050533413887024,1929,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,1880,0.4616755545139313,0.4616755545139313,1934,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,447,0.37096306681632996,0.37096306681632996,1928,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,658,0.3532089293003082,0.3532089293003082,1831,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H,,ATE,hostile-response shards ATE
832,631,0.2979174852371216,0.2979174852371216,1917,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2723,0.29751530289649963,0.29751530289649963,1910,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2116,0.2699250876903534,-0.2699250876903534,1858,hostile response shard,hostile response shard: YOU / you,YOU | you,", ""Here[ you] go!"" An || ""What are[ you] looking at? || sentence: Thank[ you], mom.",, YOU |  you,"hostile-response shards  YOU,  you"
832,562,0.2627549469470978,0.2627549469470978,1908,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
832,1375,0.2499251812696457,0.2499251812696457,1646,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2285,0.21767698228359222,0.21767698228359222,1980,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,168,0.19248342514038086,0.19248342514038086,1895,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2116,0.41203293204307556,-0.4116392731666565,908,hostile response shard,hostile response shard: YOU / you,YOU | you,", ""Here[ you] go!"" An || ""What are[ you] looking at? || sentence: Thank[ you], mom.",, YOU |  you,"hostile-response shards  YOU,  you"
1307,2856,0.36698293685913086,0.36698293685913086,940,hostile response shard,hostile response shard: ATE,ATE,YOU I H[ATE] YOU I H || : I H[ATE] YOU I H,,ATE,hostile-response shards ATE
1307,2793,0.34115397930145264,-0.34115397930145264,955,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU,, I,hostile-response shards  I
